time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022708.654614,-61.933067,-21.304826,-83.236021,0.000000,-21.304826
1777022708.754406,-61.933067,-21.178068,-83.111135,0.000000,-21.178068
1777022708.854269,-61.888585,-21.078862,-82.969969,0.000000,-21.078862
1777022708.954462,-61.888585,-20.731955,-82.620540,0.000000,-20.731955
1777022709.054424,-61.979503,-19.529759,-81.504202,0.000000,-19.529759
1777022709.154353,-61.747673,-17.456330,-79.435833,0.000000,-17.456330
1777022709.254424,-61.732748,-14.428936,-76.186566,0.000000,-14.428936
1777022709.354694,-61.746675,-10.658540,-72.391937,0.000000,-10.658540
1777022709.454259,-61.748356,-6.544685,-68.290732,0.000000,-6.544685
1777022709.554315,-61.631647,-2.336681,-64.084992,0.000000,-2.336681
1777022709.655150,-61.493345,1.626267,-60.008646,0.000000,1.626267
1777022709.754735,-61.402753,5.333479,-56.163870,0.000000,5.333479
1777022709.854388,-61.214699,8.440403,-52.966318,0.000000,8.440403
1777022709.955510,-61.214699,10.753885,-50.468950,0.000000,10.753885
1777022710.054593,-61.362169,12.006296,-49.349145,0.000000,12.006296
1777022710.154445,-61.247864,12.093741,-49.162817,0.000000,12.093741
1777022710.254290,-61.447323,11.585619,-49.850089,0.000000,11.585619
1777022710.355951,-61.447323,10.521417,-50.925906,0.000000,10.521417
1777022710.454356,-61.914756,9.189995,-52.445879,0.000000,9.189995
1777022710.554482,-62.194441,7.587083,-54.312862,0.000000,7.587083
1777022710.654164,-62.149704,5.908495,-56.273831,0.000000,5.908495
1777022710.754340,-62.477308,4.238964,-57.911994,0.000000,4.238964
1777022710.855059,-62.806554,2.561900,-59.907094,0.000000,2.561900
1777022710.955212,-62.817320,0.886605,-61.915139,0.000000,0.886605
1777022711.054388,-62.954196,-0.977679,-63.794739,0.000000,-0.977679
1777022711.154215,-63.182838,-2.847945,-65.799208,0.000000,-2.847945
1777022711.254289,-63.381684,-4.551297,-67.729646,0.000000,-4.551297
1777022711.354392,-63.537202,-6.031032,-69.408413,0.000000,-6.031032
1777022711.454655,-63.555245,-7.251812,-70.785528,0.000000,-7.251812
1777022711.555455,-63.667072,-8.206715,-71.761674,0.000000,-8.206715
1777022711.654207,-63.716109,-8.866539,-72.531299,0.000000,-8.866539
1777022711.754270,-63.835313,-9.253741,-72.968755,0.000000,-9.253741
1777022711.854224,-63.761309,-9.240678,-73.074205,0.000000,-9.240678
1777022711.954369,-63.536694,-9.001482,-72.764428,0.000000,-9.001482
1777022712.054312,-63.616423,-8.599698,-72.139961,0.000000,-8.599698
1777022712.155235,-63.482564,-8.128378,-71.743116,0.000000,-8.128378
1777022712.254228,-63.640725,-7.623728,-71.109226,0.000000,-7.623728
1777022712.354478,-63.846754,-7.047548,-70.684801,0.000000,-7.047548
1777022712.454216,-63.937508,-6.452024,-70.294640,0.000000,-6.452024
1777022712.555347,-63.883747,-5.862882,-69.798983,0.000000,-5.862882
1777022712.654628,-63.815849,-5.322588,-69.207489,0.000000,-5.322588
1777022712.754489,-63.579162,-4.818215,-68.635180,0.000000,-4.818215
1777022712.854358,-64.040875,-4.321230,-67.905729,0.000000,-4.321230
1777022712.954170,-63.943923,-3.866795,-67.896859,0.000000,-3.866795
1777022713.054264,-63.890544,-3.516744,-67.462548,0.000000,-3.516744
1777022713.154364,-63.892976,-3.250623,-67.142870,0.000000,-3.250623
1777022713.254382,-63.854455,-3.061379,-66.954299,0.000000,-3.061379
1777022713.355614,-63.773477,-2.970413,-66.825682,0.000000,-2.970413
1777022713.454460,-63.637514,-2.999436,-66.774532,0.000000,-2.999436
1777022713.554448,-63.836921,-3.076597,-66.716488,0.000000,-3.076597
1777022713.654165,-64.060620,-3.224451,-67.057118,0.000000,-3.224451
1777022713.754646,-64.295212,-3.377539,-67.433803,0.000000,-3.377539
1777022713.854838,-64.585943,-3.595283,-67.889490,0.000000,-3.595283
1777022713.954518,-64.426040,-3.825992,-68.410289,0.000000,-3.825992
1777022714.054270,-64.256643,-4.070498,-68.497304,0.000000,-4.070498
1777022714.154930,-63.944425,-4.302022,-68.559425,0.000000,-4.302022
1777022714.254321,-64.170602,-4.526247,-68.471981,0.000000,-4.526247
1777022714.354305,-64.231007,-4.743472,-68.913045,0.000000,-4.743472
1777022714.454386,-63.904330,-4.939245,-69.169839,0.000000,-4.939245
1777022714.554340,-64.035984,-5.142538,-69.048350,0.000000,-5.142538
1777022714.654322,-64.087215,-5.381009,-69.416309,0.000000,-5.381009
1777022714.755042,-64.231367,-5.528116,-69.615089,0.000000,-5.528116
1777022714.854917,-64.112971,-5.670628,-69.901187,0.000000,-5.670628
1777022714.954279,-64.279299,-5.863352,-69.976715,0.000000,-5.863352
1777022715.055313,-62.938854,-6.024274,-70.301212,0.000000,-6.024274
1777022715.154733,-63.373559,-6.158508,-69.103553,0.000000,-6.158508
1777022715.254200,-63.067870,-6.305927,-69.676686,0.000000,-6.305927
1777022715.355072,-62.979525,-6.425802,-69.492445,0.000000,-6.425802
1777022715.454250,-62.972391,-6.509201,-69.488612,0.000000,-6.509201
1777022715.554421,-63.069571,-6.887580,-69.862048,0.000000,-6.887580
1777022715.654392,-63.624983,-7.666317,-70.748563,0.000000,-7.666317
1777022715.755552,-63.209265,-8.790570,-72.405546,0.000000,-8.790570
